frame.time_epoch,frame.time_delta,ip.proto,ip.ttl,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.len,tcp.window_size,tcp.options.mss,tcp.analysis.bytes_in_flight,udp.length,frame.len,label
1746867595.554147000,0.000598000,,,,,,,,,,,,,,,,,42,1
1746867595.554165000,0.000018000,,,,,,,,,,,,,,,,,42,1
1746867595.554169000,0.000004000,,,,,,,,,,,,,,,,,42,1
1746867596.554147000,0.999978000,,,,,,,,,,,,,,,,,42,1
1746867596.554217000,0.000070000,,,,,,,,,,,,,,,,,42,1
1746867596.554488000,0.000271000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,9439,106,50,5888,,50,,116,1
1746867596.554956000,0.000468000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,9489,0,60928,,,,66,1
1746867596.554968000,0.000012000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,9489,106,97,5888,,97,,163,1
1746867596.555119000,0.000151000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,9586,0,60928,,,,66,1
1746867596.564133000,0.009014000,,,,,,,,,,,,,,,,,42,1
1746867597.554111000,0.989978000,,,,,,,,,,,,,,,,,42,1
1746867597.556332000,0.002221000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,9586,106,50,5888,,50,,116,1
1746867597.556570000,0.000238000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,9636,0,60928,,,,66,1
1746867597.556580000,0.000010000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,9636,106,97,5888,,97,,163,1
1746867597.556700000,0.000120000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,9733,0,60928,,,,66,1
1746867597.564088000,0.007388000,,,,,,,,,,,,,,,,,42,1
1746867597.564112000,0.000024000,,,,,,,,,,,,,,,,,42,1
1746867598.557213000,0.993101000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,9733,106,50,5888,,50,,116,1
1746867598.557480000,0.000267000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,9783,0,60928,,,,66,1
1746867598.557487000,0.000007000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,9783,106,97,5888,,97,,163,1
1746867598.557643000,0.000156000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,9880,0,60928,,,,66,1
1746867598.564271000,0.006628000,,,,,,,,,,,,,,,,,42,1
1746867598.564406000,0.000135000,,,,,,,,,,,,,,,,,42,1
